"filename"	"CT_General"	"CT_Subtype"	"BTO"	"factor"	"factorGeneID"	"GSE"	"GSM"	"exp_type"
"TBP_GSM912913_MEL"	"Mouse ErythroLeukaemic"	"[CL] MEL"	"BTO:0004475"	"Tbp"	21374	"GSE36030"	"GSM912913"	"tf"
"USF2_GSM912892_MEL"	"Mouse ErythroLeukaemic"	"[CL] MEL"	"BTO:0004475"	"Usf2"	22282	"GSE36030"	"GSM912892"	"tf"
"CEBPa_GSM537984_Macrophages"	"Macrophages"	"[PC] Peritoneal Macrophage"	"BTO:0000801"	"Cebpa"	12606	"GSE21512"	"GSM537984"	"tf"
"CEBPb_GSM537985_Macrophages"	"Macrophages"	"[PC] Peritoneal Macrophage"	"BTO:0000801"	"Cebpb"	12608	"GSE21512"	"GSM537985"	"tf"
"p300_GSM487448_Macrophages"	"Macrophages"	"[PC] Bone Marrow Macrophage"	"BTO:0004732"	"Ep300"	328572	"GSE19553"	"GSM487448"	"tf"
"p65_GSM611116_Activated_Macrophages"	"Macrophages"	"[PC] Bone Marrow Macrophage"	"BTO:0004732"	"Rela"	19697	"GSE16723"	"GSM611116"	"tf"
"PPARg_GSM532739_Macrophages"	"Macrophages"	"[PC] Peritoneal Macrophage"	"BTO:0000801"	"Pparg"	19016	"GSE21314"	"GSM532739"	"tf"
"PU1_GSM487450_Macrophages"	"Macrophages"	"[PC] Bone Marrow Macrophage"	"BTO:0004732"	"Sfpi1"	20375	"GSE19553"	"GSM487450"	"tf"
"PU1_GSM487451_Activated_Macrophages"	"Macrophages"	"[PC] Bone Marrow Macrophage"	"BTO:0004732"	"Sfpi1"	20375	"GSE19553"	"GSM487451"	"tf"
"PU1_GSM537983_Macrophages"	"Macrophages"	"[PC] Peritoneal Macrophage"	"BTO:0000801"	"Sfpi1"	20375	"GSE21512"	"GSM537983"	"tf"
"Stat1_GSM838681_Untreated_WT_BMM"	"Macrophages"	"[PC] Bone Marrow Macrophage"	"BTO:0004732"	"Stat1"	20846	"GSE33913"	"GSM838681"	"tf"
"Stat1_GSM838683_6h_IFNg_WT_BMM"	"Macrophages"	"[PC] Bone Marrow Macrophage"	"BTO:0004732"	"Stat1"	20846	"GSE33913"	"GSM838683"	"tf"
"Stat1_GSM838685_6h_IFNb_WT_BMM"	"Macrophages"	"[PC] Bone Marrow Macrophage"	"BTO:0004732"	"Stat1"	20846	"GSE33913"	"GSM838685"	"tf"
